"Швейные машины";Jaguar;"EL 109";;1019573755;249,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Jaguar Co., Ltd., 6-8, Satahigashi-Machi 2-chome, Moriguchi city, Osaka 570-0017, Japan";"ИП Терешкова Ю.А. г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";24;1;0,00;2;;120;нет;да;
"Швейные машины";Jaguar;"EL 223";;1019573756;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Jaguar Co., Ltd., 6-8, Satahigashi-Machi 2-chome, Moriguchi city, Osaka 570-0017, Japan";"ИП Терешкова Ю.А. г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;6,00;2;8,00;120;нет;да;
"Швейные машины";Jaguar;"HandyCraft 021";;1019573759;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Jaguar Co., Ltd., 6-8, Satahigashi-Machi 2-chome, Moriguchi city, Osaka 570-0017, Japan";"ИП Терешкова Ю.А. г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;6,00;2;8,00;120;нет;да;
"Швейные машины";Jaguar;Katty;;1019573760;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Jaguar Co., Ltd., 6-8, Satahigashi-Machi 2-chome, Moriguchi city, Osaka 570-0017, Japan";"ИП Терешкова Ю.А. г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;6,00;2;8,00;120;нет;да;
"Оверлоки и распошивальные машины";Jaguar;"EL 547 pro";;1019595056;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Jaguar Co., Ltd., 6-8, Satahigashi-Machi 2-chome, Moriguchi city, Osaka 570-0017, Japan";"ИП Терешкова Ю.А. Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;0,00;2;0,00;120;нет;да;
"Оверлоки и распошивальные машины";Jaguar;"EL 649 pro";;1019595057;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Jaguar Co., Ltd., 6-8, Satahigashi-Machi 2-chome, Moriguchi city, Osaka 570-0017, Japan";"ИП Терешкова Ю.А. Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;0,00;2;0,00;120;нет;да;
"Швейные машины";Brother;FS-20;;1126871001;479,90;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Brother Industries Ltd. Япония, 15-1, Naeshiro-cho, Mizuho-ku, Nagoya, Aichi 467-8561.";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24 пом.151";12;1;0,00;1;0,00;120;нет;да;
"Швейные машины";Brother;CS10;;1126883001;469,90;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Brother Industries Ltd., Amata industrial Park, Long Binh Ward, Bien Hoa City, Dong Nai Province, Vietnam";"ООО ""Сьютрейд"", Минск, ул. Скрипникова, 12, пом. 90";"г.Минск ул.Алибегова д.24";12;1;0,00;1;0,00;120;нет;да;
"Оверлоки и распошивальные машины";Bernina;"Bernette Funlock B44";;1126937001;837,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"BERNINA International AG, CH-8266 Steckborn / Schweiz AG, Gubelstrasse 39, 8050 Zurich, Швейцария";"ООО ""Сьютрейд""";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;0,00;1;0,00;120;нет;да;
"Оверлоки и распошивальные машины";Bernina;"Bernette Funlock B48";;1126954001;1295,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"BERNINA International AG, CH-8266 Steckborn / Schweiz AG, Gubelstrasse 39, 8050 Zurich, Швейцария";"ООО ""Сьютрейд""";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;0,00;1;0,00;120;нет;да;
"Швейные машины";Juki;HZL-F300;;114919001;1399,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Juki Corp. Japan, 2-11-1, Tsurumaki, Tama-shi, Tokyo 206-8551";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24";12;1;0,00;2;8,00;120;нет;нет;
"Швейные машины";Juki;HZL-F400;;114920001;1499,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Juki Corp. Japan, 2-11-1, Tsurumaki, Tama-shi, Tokyo 206-8551";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24";12;1;0,00;2;8,00;120;нет;нет;
"Швейные машины";Juki;HZL-F600;;114921001;1690,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Juki Corp. Japan, 2-11-1, Tsurumaki, Tama-shi, Tokyo 206-8551";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24";12;1;0,00;2;8,00;120;нет;нет;
"Швейные машины";Brother;"Innov-is NV800E";;1160169001;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Brother Industries Ltd. Япония, 15-1, Naeshiro-cho, Mizuho-ku, Nagoya, Aichi 467-8561.";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24 пом.151";12;1;0,00;1;0,00;120;нет;да;
"Швейные машины";Brother;"Innov-is NV-97E";;1160174001;1120,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Brother Industries Ltd. Япония, 15-1, Naeshiro-cho, Mizuho-ku, Nagoya, Aichi 467-8561.";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24 пом.151";12;1;0,00;1;8,00;120;нет;да;
"Швейные машины";Brother;FS-40;;1160190001;495,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Brother Industries Ltd. Япония, 15-1, Naeshiro-cho, Mizuho-ku, Nagoya, Aichi 467-8561.";"ООО ""Сьютрейд"" г.Минск ул.Брикета, 31";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24 тел. 242-01-88, 242-03-88";12;1;0,00;2;0,00;120;нет;да;
"Швейные машины";Brother;"Innov-is F440E";;1162565001;0,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"Brother Industries Ltd. Япония, 15-1, Naeshiro-cho, Mizuho-ku, Nagoya, Aichi 467-8561.";"ООО ""Сьютрейд""";"г.Минск ул.Алибегова д.24 пом.151";12;1;0,00;1;0,00;120;нет;да;
"Швейные машины";Leader;Coral;;1189161001;530,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"ZHEJIANG NEW FEIYUE CO. LTD. No. 108 Middle Airport Road. Jiojiang Taizhou. Zhejiang. China";"ООО ""Сьютрейд"", Минск, ул. Скрипникова, 12, пом. 90";"Магазин-мастерская ""Швейные машины"" г.Минск ул.Алибегова д.24";24;1;0,00;2;0,00;120;нет;нет;
"Швейные машины";Bernina;"B 580";;1204193001;7990,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"BERNINA International AG, CH-8266 Steckborn / Schweiz AG, Gubelstrasse 39, 8050 Z?rich, Швейцария";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";36;5;0,00;5;0,00;120;нет;да;
"Швейные машины";Bernina;"B 720";;1204196001;5150,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"BERNINA International AG, CH-8266 Steckborn / Schweiz AG, Gubelstrasse 39, 8050 Z?rich, Швейцария";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";36;5;0,00;5;0,00;120;нет;да;
"Швейные машины";Bernina;"B 790";;1204197001;10790,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"BERNINA International AG, CH-8266 Steckborn / Schweiz AG, Gubelstrasse 39, 8050 Z?rich, Швейцария";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";36;5;0,00;5;0,00;120;нет;да;
"Швейные машины";Bernina;"B 880";;1204198001;14600,00;BYN;"Магазин-мастерская «Швейные машины». Большой выбор швейного и вязального оборудования, аксессуаров, грамотная консультация специалистов. Рассрочка без переплат. Приходите и пробуйте!";"BERNINA International AG, CH-8266 Steckborn / Schweiz AG, Gubelstrasse 39, 8050 Z?rich, Швейцария";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";"СЬЮТРЕЙД ООО г.Минск ул.Скрипникова 29 -143А";36;5;0,00;5;0,00;120;нет;да;
